DEPTH,BS,CALI,DENS,DRHO,DTC,GR,NEUT,RESD,RESM,SP
M,IN,IN,G/C3,G/C3,US/F,GAPI,V/V,OHMM,OHMM,MV
13.1064,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
13.2588,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
13.4112,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
13.5636,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
13.716,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
13.8684,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
14.0208,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
14.1732,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
14.3256,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
14.478,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
14.6304,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
14.7828,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
14.9352,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
15.0876,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
15.24,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
15.3924,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
15.5448,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
15.6972,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
15.8496,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
16.002,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
16.1544,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
16.3068,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
16.4592,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
16.6116,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
16.764,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
16.9164,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
17.0688,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
17.2212,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
17.3736,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
17.526,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
17.6784,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
17.8308,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
17.9832,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
18.1356,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
18.288,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
18.4404,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
18.5928,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
18.7452,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
18.8976,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
19.05,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
19.2024,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
19.3548,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
19.5072,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
19.6596,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
19.812,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
19.9644,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
20.1168,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
20.2692,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
20.4216,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
20.574,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
20.7264,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
20.8788,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
21.0312,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
21.1836,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
21.336,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
21.4884,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
21.6408,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
21.7932,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
21.9456,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
22.098,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
22.2504,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
22.4028,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
22.5552,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
22.7076,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
